movie_id,title,tags
19995,Avatar,Action Adventure Fantasy Science Fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d
285,Pirates of the Caribbean: At World's End,Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
206647,Spectre,Action Adventure Crime spy based on novel secret agent sequel mi6 british secret service united kingdom
49026,The Dark Knight Rises,Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman
49529,John Carter,Action Adventure Science Fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d
559,Spider-Man 3,Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge
38757,Tangled,Animation Family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick
99861,Avengers: Age of Ultron,Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d
767,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf
209112,Batman v Superman: Dawn of Justice,Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe
1452,Superman Returns,Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor
10764,Quantum of Solace,Adventure Action Thriller Crime killing undercover secret agent british secret service
58,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger
57201,The Lone Ranger,Action Adventure Western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto
49521,Man of Steel,Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe
